State;decade;tornado_count;total_deaths;total_injuries;occ_state_tot
1;1950;139;74;1418;2620
1;1960;158;24;389;2620
1;1970;270;141;2151;2620
1;1980;253;36;883;2620
1;1990;254;78;1073;2620
1;2000;607;52;683;2620
1;2010;621;436;2861;2620
1;2020;318;25;151;2620
2;1950;1;0;0;4
2;2000;3;0;0;4
4;1950;18;0;1;285
4;1960;30;2;31;285
4;1970;52;1;104;285
4;1980;24;0;0;285
4;1990;56;0;3;285
4;2000;37;0;0;285
4;2010;46;0;13;285
4;2020;22;0;0;285
5;1950;161;125;992;2070
5;1960;171;80;1162;2070
5;1970;266;31;937;2070
5;1980;196;48;746;2070
5;1990;313;51;823;2070
5;2000;467;35;682;2070
5;2010;342;41;417;2070
5;2020;154;18;181;2070
6;1950;22;0;2;477
6;1960;26;0;13;477
6;1970;42;0;12;477
6;1980;61;0;42;477
6;1990;137;0;18;477
6;2000;84;0;1;477
6;2010;79;0;2;477
6;2020;26;0;2;477
8;1950;108;0;16;2433
8;1960;137;2;20;2433
8;1970;205;0;25;2433
8;1980;336;0;62;2433
8;1990;602;0;41;2433
8;2000;435;3;111;2433
8;2010;407;0;15;2433
8;2020;203;0;0;2433
9;1950;17;0;24;132
9;1960;10;1;50;132
9;1970;21;3;505;132
9;1980;9;0;114;132
9;1990;15;0;7;132
9;2000;15;0;1;132
9;2010;23;0;3;132
9;2020;22;0;0;132
10;1950;5;0;1;74
10;1960;8;0;7;74
10;1970;13;0;10;74
10;1980;9;2;51;74
10;1990;20;0;4;74
10;2000;2;0;0;74
10;2010;8;0;3;74
10;2020;9;1;0;74
11;1990;1;0;0;6
11;2000;1;0;0;6
11;2010;2;0;1;6
11;2020;2;0;0;6
12;1950;142;7;247;3631
12;1960;317;36;981;3631
12;1970;664;12;805;3631
12;1980;555;18;328;3631
12;1990;781;58;740;3631
12;2000;580;31;223;3631
12;2010;378;3;42;3631
12;2020;214;2;19;3631
13;1950;130;39;927;1958
13;1960;195;4;137;1958
13;1970;267;37;811;1958
13;1980;183;4;273;1958
13;1990;241;53;1016;1958
13;2000;373;46;671;1958
13;2010;360;53;689;1958
13;2020;209;16;169;1958
15;1950;2;0;0;41
15;1960;5;0;1;41
15;1970;9;0;4;41
15;1980;11;0;0;41
15;2000;11;0;1;41
15;2010;3;0;0;41
16;1950;13;0;0;220
16;1960;16;0;0;220
16;1970;7;0;2;220
16;1980;41;0;3;220
16;1990;64;0;4;220
16;2000;46;0;2;220
16;2010;28;0;0;220
16;2020;5;0;0;220
17;1950;191;36;562;2904
17;1960;210;81;1917;2904
17;1970;367;22;487;2904
17;1980;226;18;473;2904
17;1990;498;35;637;2904
17;2000;587;16;270;2904
17;2010;527;24;441;2904
17;2020;298;16;87;2904
18;1950;164;5;110;1669
18;1960;223;168;2447;1669
18;1970;234;57;1222;1669
18;1980;143;6;143;1669
18;1990;242;16;498;1669
18;2000;228;33;544;1669
18;2010;329;25;60;1669
18;2020;106;6;17;1669
19;1950;130;5;93;2939
19;1960;316;33;1015;2939
19;1970;305;19;365;2939
19;1980;384;9;323;2939
19;1990;478;2;200;2939
19;2000;589;18;239;2939
19;2010;472;4;102;2939
19;2020;265;7;22;2939
20;1950;564;160;748;4550
20;1960;467;25;946;4550
20;1970;310;34;355;4550
20;1980;343;8;167;4550
20;1990;791;28;541;4550
20;2000;1143;38;337;4550
20;2010;775;4;126;4550
20;2020;157;0;5;4550
21;1950;37;5;82;1197
21;1960;69;18;920;1197
21;1970;119;114;1829;1197
21;1980;92;3;116;1197
21;1990;177;9;162;1197
21;2000;240;38;576;1197
21;2010;327;41;481;1197
21;2020;136;74;621;1197
22;1950;128;64;504;2361
22;1960;169;31;399;2361
22;1970;281;75;1247;2361
22;1980;312;10;425;2361
22;1990;387;16;411;2361
22;2000;408;14;238;2361
22;2010;494;21;363;2361
22;2020;182;10;97;2361
23;1950;20;1;6;136
23;1960;25;0;6;136
23;1970;25;0;4;136
23;1980;6;0;0;136
23;1990;12;0;2;136
23;2000;19;0;1;136
23;2010;28;0;1;136
23;2020;1;0;0;136
24;1950;13;0;9;412
24;1960;22;1;1;412
24;1970;45;0;6;412
24;1980;16;2;58;412
24;1990;116;0;82;412
24;2000;85;5;179;412
24;2010;78;2;8;412
24;2020;37;0;1;412
25;1950;39;95;1261;193
25;1960;36;0;9;193
25;1970;35;8;56;193
25;1980;17;0;4;193
25;1990;15;3;28;193
25;2000;10;0;0;193
25;2010;25;3;204;193
25;2020;16;0;0;193
26;1950;92;151;1495;1100
26;1960;109;66;1170;1100
26;1970;231;8;274;1100
26;1980;187;10;170;1100
26;1990;166;2;173;1100
26;2000;142;3;20;1100
26;2010;134;1;28;1100
26;2020;39;4;54;1100
27;1950;91;19;174;2150
27;1960;200;52;1137;2150
27;1970;175;8;140;2150
27;1980;201;4;202;2150
27;1990;379;8;153;2150
27;2000;427;4;102;2150
27;2010;457;4;98;2150
27;2020;220;1;4;2150
28;1950;145;94;787;2736
28;1960;182;167;1499;2736
28;1970;304;207;3402;2736
28;1980;291;29;710;2736
28;1990;301;28;536;2736
28;2000;554;20;537;2736
28;2010;610;129;1114;2736
28;2020;349;37;391;2736
29;1950;221;126;1238;2544
29;1960;314;18;548;2544
29;1970;246;21;473;2544
29;1980;250;16;362;2544
29;1990;291;4;189;2544
29;2000;581;72;835;2544
29;2010;537;175;1383;2544
29;2020;104;8;27;2544
30;1950;23;2;7;442
30;1960;38;0;8;442
30;1970;51;0;1;442
30;1980;55;1;3;442
30;1990;137;0;6;442
30;2000;64;0;0;442
30;2010;61;2;10;442
30;2020;13;0;0;442
31;1950;302;28;367;3100
31;1960;295;12;185;3100
31;1970;383;4;210;3100
31;1980;352;7;258;3100
31;1990;639;0;84;3100
31;2000;551;7;138;3100
31;2010;421;2;47;3100
31;2020;157;0;6;3100
32;1960;7;0;1;97
32;1970;11;0;1;97
32;1980;20;0;0;97
32;1990;23;0;0;97
32;2000;16;0;0;97
32;2010;17;0;0;97
32;2020;3;0;0;97
33;1950;9;0;6;102
33;1960;32;0;7;102
33;1970;20;0;12;102
33;1980;10;0;0;102
33;1990;9;0;1;102
33;2000;5;1;4;102
33;2010;12;0;0;102
33;2020;5;0;0;102
34;1950;12;0;11;193
34;1960;11;0;12;193
34;1970;23;0;14;193
34;1980;41;0;14;193
34;1990;39;0;12;193
34;2000;14;1;2;193
34;2010;20;0;0;193
34;2020;33;0;10;193
35;1950;57;0;0;653
35;1960;99;1;57;653
35;1970;78;1;14;653
35;1980;70;0;1;653
35;1990;139;0;38;653
35;2000;80;2;45;653
35;2010;93;0;8;653
35;2020;37;0;0;653
36;1950;12;0;3;501
36;1960;32;0;21;501
36;1970;55;6;54;501
36;1980;67;16;103;501
